SCHOOL_TITLE,CourseID,COFFERED_WITH,Sec,Crs,size,stuNo,ROOM_ID,RoomSize,BLOCKED,COURSE_NAME,FACULTY_FULL_NAME,STRAT_TIME,END_TIME,ST_MW,Dept,ClassSize,stuCr,Year,Semester,Level,SemesterNo,
SETS,CSE104L,"CSE104L,CEN104L",2,1,39,39,CENLAB-S,45,-1,Lab work based on CSE 104,4409-MS Ajmiri Sabrina Khan,9:40,11:10,R,CSE,39,39,2019,Autumn,,3,
SETS,CSE104L,"CSE104L,CEN104L",3,1,38,37,CENLAB-S,45,0,Lab work based on CSE 104,4409-MS Ajmiri Sabrina Khan,13:40,15:10,M,CSE,37,37,2019,Autumn,,3,
SETS,CSE104L,"CSE104L,CEN104L",4,1,38,35,CENLAB-S,45,0,Lab work based on CSE 104,4285-DR Ferdows Zahid,15:20,16:50,T,CSE,35,35,2019,Autumn,,3,
SETS,CSE201,"MAT120,CSE201,CEN201,CSC201",1,3,50,46,BC7026-S,50,-1,Discrete Mathematics,4228-DR Habib Bin Muzaffar,9:40,11:10,ST,CSE,46,138,2019,Autumn,,3,
SETS,CSE201,"MAT120,CSE201,CEN201,CSC201",2,3,50,50,BC6013-S,50,-1,Discrete Mathematics,4223-MR Mr. Md. Shariful Islam,15:20,16:50,MW,CSE,50,150,2019,Autumn,,3,
SETS,CSE201,"MAT120,CSE201,CEN201,CSC201",3,3,46,42,BC6013-S,50,-1,Discrete Mathematics,4362-MR Bijoy Rahman Arif,17:00,18:30,MW,CSE,42,126,2019,Autumn,,3,
SETS,CSE203,"CSE203,CSC203,CEN203",1,3,30,0,CSCLab2-S,30,B-0,Data Structure,T001-00 TBA TBA,8:00,9:30,ST,CSE,,0,2019,Autumn,,3,
SETS,CSE203,"CSE203,CSC203,CEN203",2,3,38,37,CSCLab3-S,35,-1,Data Structure,4401-MR AKM Mahbubur Rahman,8:00,9:30,MW,CSE,37,111,2019,Autumn,,3,
SETS,CSE203,"CSE203,CSC203,CEN203",3,3,38,34,CSCLab2-S,30,-1,Data Structure,4397-MR Mohammad Motiur Rahman,13:40,15:10,ST,CSE,34,102,2019,Autumn,,3,
SETS,CSE203,"CSE203,CSC203,CEN203",4,3,40,39,CSCLab2-S,30,-1,Data Structure,4408-MR Asif Bin Khaled,13:40,15:10,MW,CSE,39,117,2019,Autumn,,3,
SETS,CSE203,"CSE203,CSC203,CEN203",5,3,46,46,GPLab-S,50,-1,Data Structure,4373-MS Romasa Qasim,17:00,18:30,MW,CSE,46,138,2019,Autumn,,3,
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",1,1,30,0,CSCLab2-S,30,B-0,Data Structure Lab,T001-00 TBA TBA,9:40,11:10,S,CSE,,0,2019,Autumn,,3,
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",2,1,38,37,CSCLab3-S,35,0,Data Structure Lab,4401-MR AKM Mahbubur Rahman,9:40,11:10,W,CSE,37,37,2019,Autumn,,3,
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",3,1,38,34,CSCLab2-S,30,0,Data Structure Lab,4397-MR Mohammad Motiur Rahman,15:20,16:50,S,CSE,34,34,2019,Autumn,,3,
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",4,1,40,39,CSCLab2-S,30,-1,Data Structure Lab,4408-MR Asif Bin Khaled,15:20,16:50,M,CSE,39,39,2019,Autumn,,3,
