SCHOOL_TITLE,COFFER_COURSE_ID,COFFERED_WITH,SECTION,CREDIT_HOUR,CAPACITY,ENROLLED,FreeSpace,ROOM_ID,ROOM_CAPACITY,BLOCKED,COURSE_NAME,FACULTY_FULL_NAME,STRAT_TIME,END_TIME,ST_MW,Year,Semester
SETS,CSE498,"CSE498,CEN498,CSC498",2,6,10,10,10,A4L04-S,20,0,Senior Project,4242-MR Prof. Farruk Ahmed,09:30:00,11:00:00,F,2021,Spring
SETS,CSE498,"CSE498,CEN498,CSC498",3,6,10,0,20,A4L04-S,20,0,Senior Project,4241-DR Md. Ashraful Amin,11:00:00,12:30:00,F,2021,Spring
SETS,CSE498,"CSE498,CEN498,CSC498",4,6,10,0,20,A4L04-S,20,0,Senior Project,4285-DR Ferdows Zahid,12:30:00,14:00:00,F,2021,Spring
SETS,CSE498,"CSE498,CEN498,CSC498",5,6,10,1,19,A4L04-S,20,-1,Senior Project,4382-DR Tarem Ahmed,14:00:00,15:30:00,F,2021,Spring
SETS,CSE498,"CSE498,CEN498,CSC498",6,6,10,0,20,A4L04-S,20,0,Senior Project,4336-DR Amin Ahsan Ali,15:30:00,17:00:00,F,2021,Spring
SETS,CSE498,"CSE498,CEN498,CSC498",7,6,10,0,20,A4L04-S,20,0,Senior Project,4383-DR Faisal Uddin,17:00:00,18:30:00,F,2021,Spring
SETS,CSE498,"CSE498,CEN498,CSC498",8,6,10,1,19,A4L04-S,20,0,Senior Project,4401-MR AKM Mahbubur Rahman,18:30:00,20:00:00,F,2021,Spring
SETS,CSE499,"CSE499,CEN499,CSC499",1,6,10,10,10,A4L04-S,20,-1,Internship Program,4137-MR Mohammad Noor Nabi,08:00:00,09:30:00,A,2021,Spring
SETS,CSE499,"CSE499,CEN499,CSC499",2,6,10,3,17,A4L04-S,20,-1,Internship Program,4161-MR Subrata Kumar Dey,09:30:00,11:00:00,A,2021,Spring
SETS,CSE499,"CSE499,CEN499,CSC499",3,6,11,11,9,A4L04-S,20,-1,Internship Program,4331-MS Sabrina Alam,11:00:00,12:30:00,A,2021,Spring
SETS,CSE499,"CSE499,CEN499,CSC499",4,6,10,2,18,A4L04-S,20,-1,Internship Program,4362-MR Bijoy Rahman Arif,12:30:00,14:00:00,A,2021,Spring
SETS,CSE499,"CSE499,CEN499,CSC499",5,6,10,5,15,A4L04-S,20,-1,Internship Program,4348-MR Md. Abu Sayed,14:00:00,15:30:00,A,2021,Spring
SETS,CSE499,"CSE499,CEN499,CSC499",6,6,10,0,20,A4L04-S,20,0,Internship Program,4397-MR Mohammad Motiur Rahman,15:30:00,17:00:00,A,2021,Spring
SETS,CSE499,"CSE499,CEN499,CSC499",7,6,10,7,13,A4L04-S,20,-1,Internship Program,4373-MS Romasa Qasim,17:00:00,18:30:00,A,2021,Spring
SETS,CSE499,"CSE499,CEN499,CSC499",8,6,19,13,7,A4L04-S,20,0,Internship Program,4376-MR Sanzar Adnan Alam,18:30:00,20:00:00,A,2021,Spring
SETS,CSE499,"CSE499,CEN499,CSC499",9,6,10,5,15,A4L04-S,20,-1,Internship Program,4416-MR Md. Fahad Monir,20:00:00,21:30:00,A,2021,Spring
SETS,CSE499,"CSE499,CEN499,CSC499",10,6,10,9,41,BC001-S,50,-1,Internship Program,4408-MR Asif Bin Khaled,11:00:00,12:30:00,A,2021,Spring
SETS,CSE499,"CSE499,CEN499,CSC499",11,6,10,0,50,BC001-S,50,B-0,Internship Program,4409-MS Ajmiri Sabrina Khan,12:30:00,14:00:00,A,2021,Spring
SBE,ECN200,ECN200,1,3,33,27,13,C3004-S,40,-1,Introduction to Economics,3491-MS Nuren Nirvana Brishti,09:30:00,11:00:00,ST,2021,Spring
SBE,ECN200,ECN200,2,3,33,32,18,BC3011-S,50,-1,Introduction to Economics,3489-MS Fahmida Islam,17:00:00,18:30:00,ST,2021,Spring
SBE,ECN200,ECN200,3,3,33,32,18,BC3009-S,50,-1,Introduction to Economics,3490-MS Nuzhat Sharmeen,08:00:00,09:30:00,MW,2021,Spring
SBE,ECN201,ECN201,1,3,40,34,-9,BC4010-S,25,-1,Principles of Microeconomics,3463-MR Md. Kamrul Islam,08:00:00,09:30:00,ST,2021,Spring
SBE,ECN201,ECN201,2,3,41,40,0,C3005-S,40,-1,Principles of Microeconomics,3463-MR Md. Kamrul Islam,09:30:00,11:00:00,ST,2021,Spring
